"stratum"|"x0001"|"x0010"|"x0011"|"x0100"|"x0101"|"x0110"|"x0111"|"x1000"|"x1001"|"x1010"|"x1011"|"x1100"|"x1101"|"x1110"|"x1111"|"stratum.type"|"nk"
"1980"|1656|1671|407|116|38|14|17|315|60|36|10|4|7|1|3|"year"|4355
"1981"|1552|1086|232|230|401|8|19|328|98|15|18|10|43|2|2|"year"|4044
"1982"|1132|740|170|971|123|16|12|293|137|18|21|36|86|7|16|"year"|3778
"1983"|568|315|34|997|131|13|35|102|45|2|3|18|52|1|9|"year"|2325
"1984"|288|206|14|509|50|24|2|121|44|3|4|25|32|7|4|"year"|1333
"1985"|126|76|15|431|23|13|6|99|7|0|1|8|12|1|2|"year"|820
"1986"|148|91|9|207|75|10|0|57|16|1|2|8|14|1|0|"year"|639
"1987"|136|62|8|146|87|10|8|60|7|1|1|10|20|0|4|"year"|560
"1988"|174|69|8|179|107|6|7|84|14|2|1|9|18|1|3|"year"|682
"1989"|122|77|13|311|55|8|14|131|16|5|2|17|22|4|5|"year"|802
"1990"|90|46|14|141|40|5|2|124|7|1|2|11|8|1|1|"year"|493
"1980s0"|82|115|3|0|0|0|0|0|0|0|0|0|0|0|0|"yr.sm"|200
"1980s1"|696|699|204|59|22|5|12|137|28|18|6|2|1|0|2|"yr.sm"|1891
"1980s2"|878|857|200|57|16|9|5|178|32|18|4|2|6|1|1|"yr.sm"|2264
"1981s1"|730|524|97|59|21|3|6|144|42|10|5|1|9|1|2|"yr.sm"|1654
"1981s2"|764|484|134|171|380|5|13|184|56|5|13|9|34|1|0|"yr.sm"|2253
"1982s1"|500|380|109|296|52|10|2|169|83|13|16|18|42|1|8|"yr.sm"|1699
"1982s2"|594|301|59|675|71|6|10|124|54|5|5|18|44|6|8|"yr.sm"|1980
"1983s1"|332|138|28|664|58|11|26|59|29|2|3|13|39|1|9|"yr.sm"|1412
"1983s2"|225|127|6|333|73|2|9|43|16|0|0|5|13|0|0|"yr.sm"|852
"1984s1"|161|84|6|248|31|6|0|43|14|2|1|17|18|4|3|"yr.sm"|638
"1984s2"|113|99|8|261|19|18|2|78|30|1|3|8|14|3|1|"yr.sm"|658
"1985s1"|67|25|11|271|6|8|4|52|4|0|1|4|7|0|0|"yr.sm"|460
"1985s2"|54|42|4|160|17|5|2|47|3|0|0|4|5|1|2|"yr.sm"|346
"1986s1"|56|53|3|121|35|6|0|44|9|0|1|4|6|1|0|"yr.sm"|339
"1986s2"|90|31|6|86|40|4|0|13|7|1|1|4|8|0|0|"yr.sm"|291
"1987s1"|74|26|5|77|45|4|7|26|2|0|1|5|6|0|2|"yr.sm"|280
"1987s2"|60|27|3|69|42|6|1|34|5|1|0|5|14|0|2|"yr.sm"|269
"1988s1"|96|29|6|112|64|3|1|49|8|2|0|4|5|0|2|"yr.sm"|381
"1988s2"|76|33|2|67|43|3|6|35|6|0|1|5|13|1|1|"yr.sm"|292
"1989s1"|46|37|4|105|33|3|10|76|10|2|1|7|10|2|1|"yr.sm"|347
"1989s2"|76|38|9|206|22|5|4|55|6|3|1|10|12|2|4|"yr.sm"|453
"1990s1"|39|27|3|75|21|2|1|74|6|1|0|7|4|0|1|"yr.sm"|261
"1990s2"|51|18|11|66|19|3|1|50|1|0|2|4|4|1|0|"yr.sm"|231
"AHUACHAPAN"|65|113|0|158|13|0|2|47|3|0|0|2|5|0|4|"dept"|412
"CABANAS"|205|381|55|109|21|12|0|38|4|11|1|0|2|1|0|"dept"|840
"CHALATENANGO"|624|1447|286|176|46|21|16|53|12|6|4|3|6|2|0|"dept"|2702
"CUSCATLAN"|534|514|102|422|86|25|26|95|18|8|3|12|24|4|7|"dept"|1880
"LA LIBERTAD"|331|224|43|234|67|9|7|136|29|0|4|26|32|3|2|"dept"|1147
"LA PAZ"|252|195|12|143|37|6|4|61|12|2|1|4|10|2|1|"dept"|742
"MORAZAN"|654|232|102|208|370|8|14|87|21|7|16|2|13|0|0|"dept"|1734
"SAN MIGUEL"|118|70|8|195|39|2|1|118|10|4|0|6|9|1|0|"dept"|581
"SAN SALVADOR"|1361|491|84|1692|313|31|29|774|265|29|28|82|165|9|20|"dept"|5373
"SAN VICENTE"|1047|352|153|221|38|5|4|92|25|2|5|6|10|0|1|"dept"|1961
"SANTA ANA"|296|142|35|430|50|3|11|64|11|7|1|3|12|3|11|"dept"|1079
"SONSONATE"|122|102|28|46|21|2|7|41|4|1|0|1|14|1|1|"dept"|391
"USULUTAN"|421|175|18|176|24|3|1|211|43|7|4|9|9|0|2|"dept"|1103
"CABANAS.1980"|74|178|33|4|1|0|0|9|0|10|1|0|0|0|0|"dp.yr"|310
"CHALATENANGO.1980"|273|567|152|9|4|8|9|6|3|3|0|0|1|0|0|"dp.yr"|1035
"CHALATENANGO.1981"|119|292|48|3|3|0|0|5|0|0|0|0|2|0|0|"dp.yr"|472
"CHALATENANGO.1982"|98|265|53|16|9|1|0|2|0|0|1|2|0|1|0|"dp.yr"|448
"CUSCATLAN.1980"|127|224|32|39|8|1|1|21|4|4|0|0|3|0|0|"dp.yr"|464
"CUSCATLAN.1981"|96|125|29|17|10|1|3|14|5|1|0|0|3|1|2|"dp.yr"|307
"CUSCATLAN.1983"|174|62|18|81|15|4|18|7|1|0|0|0|3|0|0|"dp.yr"|383
"CUSCATLAN.1984"|33|29|1|123|17|8|0|7|1|1|0|8|2|2|3|"dp.yr"|235
"LA LIBERTAD.1980"|135|97|31|6|8|1|0|13|4|0|0|0|1|0|0|"dp.yr"|296
"LA LIBERTAD.1982"|36|31|2|64|18|2|3|29|9|0|3|3|10|1|1|"dp.yr"|212
"LA PAZ.1980"|79|90|9|10|0|0|2|16|0|1|1|0|0|1|0|"dp.yr"|209
"MORAZAN.1980"|175|72|26|2|1|0|0|26|0|3|1|1|1|0|0|"dp.yr"|308
"MORAZAN.1981"|253|72|49|109|344|2|10|30|1|1|7|1|3|0|0|"dp.yr"|882
"SAN SALVADOR.1980"|284|138|23|20|8|4|1|138|26|7|6|0|1|0|2|"dp.yr"|658
"SAN SALVADOR.1981"|369|127|40|28|24|1|3|126|56|5|5|5|18|0|0|"dp.yr"|807
"SAN SALVADOR.1982"|180|75|9|443|52|4|3|137|104|11|8|24|60|2|7|"dp.yr"|1119
"SAN SALVADOR.1983"|173|43|1|587|67|4|10|45|28|1|3|14|26|1|6|"dp.yr"|1009
"SAN SALVADOR.1984"|97|17|1|112|22|3|2|54|23|1|1|9|16|2|0|"dp.yr"|360
"SAN SALVADOR.1985"|40|15|0|117|12|1|1|43|5|0|0|6|8|0|2|"dp.yr"|250
"SAN SALVADOR.1988"|49|16|1|73|46|2|0|34|4|1|0|4|9|1|0|"dp.yr"|240
"SAN SALVADOR.1989"|55|18|2|159|22|8|2|45|1|2|2|9|9|2|1|"dp.yr"|337
"SAN VICENTE.1980"|217|104|52|22|5|0|2|16|5|1|1|0|0|0|1|"dp.yr"|426
"SAN VICENTE.1981"|282|79|27|15|1|0|0|13|7|0|4|1|1|0|0|"dp.yr"|430
"SAN VICENTE.1982"|441|120|70|51|7|2|1|19|4|1|0|3|1|0|0|"dp.yr"|720
"SANTA ANA.1980"|116|54|23|0|0|0|1|10|0|1|0|0|0|0|0|"dp.yr"|205
"SANTA ANA.1982"|27|24|3|170|10|1|1|17|5|0|0|0|4|2|6|"dp.yr"|270
"SANTA ANA.1983"|33|8|0|134|13|0|0|4|5|0|0|0|3|0|2|"dp.yr"|202
"USULUTAN.1981"|100|74|9|1|1|0|0|43|15|4|1|0|2|0|0|"dp.yr"|250
"USULUTAN.1982"|159|43|3|35|4|0|0|38|6|1|0|2|0|0|0|"dp.yr"|291
"AHUACHAPAN.8083"|46|99|0|66|4|0|0|22|1|0|0|0|0|0|0|"dp.pd"|238
"CABANAS.8083"|162|322|46|30|3|1|0|21|1|10|1|0|1|0|0|"dp.pd"|598
"CABANAS.8492"|43|59|9|79|18|11|0|17|3|1|0|0|1|1|0|"dp.pd"|242
"CHALATENANGO.8083"|518|1199|255|32|17|10|10|17|4|3|1|2|4|1|0|"dp.pd"|2073
"CHALATENANGO.8492"|106|248|31|144|29|11|6|36|8|3|3|1|2|1|0|"dp.pd"|629
"CUSCATLAN.8083"|441|472|93|179|44|10|25|49|11|5|2|1|13|1|3|"dp.pd"|1349
"CUSCATLAN.8492"|93|42|9|243|42|15|1|46|7|3|1|11|11|3|4|"dp.pd"|531
"LA LIBERTAD.8083"|261|198|40|118|41|7|6|71|22|0|4|9|26|1|1|"dp.pd"|805
"LA LIBERTAD.8492"|70|26|3|116|26|2|1|65|7|0|0|17|6|2|1|"dp.pd"|342
"LA PAZ.8083"|204|151|10|77|16|1|2|30|8|1|1|1|5|1|0|"dp.pd"|508
"LA PAZ.8492"|48|44|2|66|21|5|2|31|4|1|0|3|5|1|1|"dp.pd"|234
"MORAZAN.8083"|532|216|96|125|347|4|11|63|7|7|15|2|5|0|0|"dp.pd"|1430
"MORAZAN.8492"|122|16|6|83|23|4|3|24|14|0|1|0|8|0|0|"dp.pd"|304
"SAN MIGUEL.8083"|67|62|7|92|6|0|0|76|6|4|0|1|3|0|0|"dp.pd"|324
"SAN MIGUEL.8492"|51|8|1|103|33|2|1|42|4|0|0|5|6|1|0|"dp.pd"|257
"SAN SALVADOR.8083"|1006|383|73|1078|151|13|17|446|214|24|22|43|105|3|15|"dp.pd"|3593
"SAN SALVADOR.8492"|355|108|11|614|162|18|12|328|51|5|6|39|60|6|5|"dp.pd"|1780
"SAN VICENTE.8083"|970|321|149|119|14|2|3|53|17|2|5|4|4|0|1|"dp.pd"|1664
"SAN VICENTE.8492"|77|31|4|102|24|3|1|39|8|0|0|2|6|0|0|"dp.pd"|297
"SANTA ANA.8083"|237|112|32|306|27|2|2|40|10|4|0|1|7|3|8|"dp.pd"|791
"SANTA ANA.8492"|59|30|3|124|23|1|9|24|1|3|1|2|5|0|3|"dp.pd"|288
"SONSONATE.8083"|109|98|25|25|16|1|7|21|3|1|0|0|10|1|1|"dp.pd"|318
"USULUTAN.8083"|332|156|16|59|7|0|0|121|34|7|1|4|3|0|1|"dp.pd"|741
"USULUTAN.8492"|89|19|2|117|17|3|1|90|9|0|3|5|6|0|1|"dp.pd"|362
"8081"|3208|2757|639|346|439|22|36|643|158|51|28|14|50|3|5|"period2"|8399
"8283"|1700|1055|204|1968|254|29|47|395|182|20|24|54|138|8|25|"period2"|6103
"8485"|414|282|29|940|73|37|8|220|51|3|5|33|44|8|6|"period2"|2153
"8687"|284|153|17|353|162|20|8|117|23|2|3|18|34|1|4|"period2"|1199
"8889"|296|146|21|490|162|14|21|215|30|7|3|26|40|5|8|"period2"|1484
"9092"|155|68|17|141|40|5|2|238|15|4|4|11|8|1|1|"period2"|710
"8081.CABANAS"|123|290|45|12|1|0|0|15|1|10|1|0|0|0|0|"pd2.dp"|498
"8081.CHALATENANGO"|392|859|200|12|7|8|9|11|3|3|0|0|3|0|0|"pd2.dp"|1507
"8081.CUSCATLAN"|223|349|61|56|18|2|4|35|9|5|0|0|6|1|2|"pd2.dp"|771
"8081.LA LIBERTAD"|198|150|37|13|16|3|2|39|10|0|1|2|10|0|0|"pd2.dp"|481
"8081.LA PAZ"|187|128|10|15|2|1|2|25|6|1|1|0|0|1|0|"pd2.dp"|379
"8081.MORAZAN"|428|144|75|111|345|2|10|56|1|4|8|2|4|0|0|"pd2.dp"|1190
"8081.SAN SALVADOR"|653|265|63|48|32|5|4|264|82|12|11|5|19|0|2|"pd2.dp"|1465
"8081.SAN VICENTE"|499|183|79|37|6|0|2|29|12|1|5|1|1|0|1|"pd2.dp"|856
"8081.SANTA ANA"|177|80|29|2|4|1|1|19|0|4|0|1|0|1|0|"pd2.dp"|319
"8081.SONSONATE"|72|82|23|6|6|0|2|12|0|1|0|0|4|0|0|"pd2.dp"|208
"8081.USULUTAN"|161|101|12|1|2|0|0|70|27|5|1|2|2|0|0|"pd2.dp"|384
"8283.CHALATENANGO"|126|340|55|20|10|2|1|6|1|0|1|2|1|1|0|"pd2.dp"|566
"8283.CUSCATLAN"|218|123|32|123|26|8|21|14|2|0|2|1|7|0|1|"pd2.dp"|578
"8283.LA LIBERTAD"|63|48|3|105|25|4|4|32|12|0|3|7|16|1|1|"pd2.dp"|324
"8283.MORAZAN"|104|72|21|14|2|2|1|7|6|3|7|0|1|0|0|"pd2.dp"|240
"8283.SAN SALVADOR"|353|118|10|1030|119|8|13|182|132|12|11|38|86|3|13|"pd2.dp"|2128
"8283.SAN VICENTE"|471|138|70|82|8|2|1|24|5|1|0|3|3|0|0|"pd2.dp"|808
"8283.SANTA ANA"|60|32|3|304|23|1|1|21|10|0|0|0|7|2|8|"pd2.dp"|472
"8283.USULUTAN"|171|55|4|58|5|0|0|51|7|2|0|2|1|0|1|"pd2.dp"|357
"8485.CHALATENANGO"|36|104|6|58|5|5|2|10|3|1|2|1|2|0|0|"pd2.dp"|235
"8485.CUSCATLAN"|51|32|5|212|21|13|1|14|1|1|0|8|3|2|3|"pd2.dp"|367
"8485.SAN SALVADOR"|137|32|1|229|34|4|3|97|28|1|1|15|24|2|2|"pd2.dp"|610
"8687.SAN SALVADOR"|82|22|6|102|49|3|5|38|12|0|1|8|13|0|1|"pd2.dp"|342
"8889.SAN SALVADOR"|104|34|3|232|68|10|2|79|5|3|2|13|18|3|1|"pd2.dp"|577
"9092.SAN SALVADOR"|32|20|1|51|11|1|2|114|6|1|2|3|5|1|1|"pd2.dp"|251
"8082"|4340|3497|809|1317|562|38|48|936|295|69|49|50|136|10|21|"period3"|12177
"8385"|982|597|63|1937|204|50|43|322|96|5|8|51|96|9|15|"period3"|4478
"8688"|458|222|25|532|269|26|15|201|37|4|4|27|52|2|7|"period3"|1881
"8992"|277|145|30|452|95|13|16|369|31|9|6|28|30|5|6|"period3"|1512
"8082.AHUACHAPAN"|43|85|0|55|4|0|0|20|1|0|0|0|0|0|0|"pd3.dp"|208
"8082.CABANAS"|143|314|45|26|1|1|0|19|1|10|1|0|1|0|0|"pd3.dp"|562
"8082.CHALATENANGO"|490|1124|253|28|16|9|9|13|3|3|1|2|3|1|0|"pd3.dp"|1955
"8082.CUSCATLAN"|267|410|75|98|29|6|7|42|10|5|2|1|10|1|3|"pd3.dp"|966
"8082.LA LIBERTAD"|234|181|39|77|34|5|5|68|19|0|4|5|20|1|1|"pd3.dp"|693
"8082.LA PAZ"|191|144|10|46|4|1|2|29|6|1|1|1|5|1|0|"pd3.dp"|442
"8082.MORAZAN"|505|188|87|117|346|3|11|61|7|7|15|2|4|0|0|"pd3.dp"|1353
"8082.SAN MIGUEL"|55|49|7|63|3|0|0|70|6|4|0|1|0|0|0|"pd3.dp"|258
"8082.SAN SALVADOR"|833|340|72|491|84|9|7|401|186|23|19|29|79|2|9|"pd3.dp"|2584
"8082.SAN VICENTE"|940|303|149|88|13|2|3|48|16|2|5|4|2|0|1|"pd3.dp"|1576
"8082.SANTA ANA"|204|104|32|172|14|2|2|36|5|4|0|1|4|3|6|"pd3.dp"|589
"8082.SONSONATE"|100|90|24|14|8|0|2|14|0|1|0|0|5|1|1|"pd3.dp"|260
"8082.USULUTAN"|320|144|15|36|6|0|0|108|33|6|1|4|2|0|0|"pd3.dp"|675
"8385.CHALATENANGO"|64|179|8|62|6|6|3|14|4|1|2|1|3|0|0|"pd3.dp"|353
"8385.CUSCATLAN"|225|94|23|293|36|17|19|21|2|1|0|8|6|2|3|"pd3.dp"|750
"8385.LA LIBERTAD"|57|24|2|70|13|2|2|25|8|0|0|8|9|2|0|"pd3.dp"|222
"8385.SAN SALVADOR"|310|75|2|816|101|8|13|142|56|2|4|29|50|3|8|"pd3.dp"|1619
"8385.SAN VICENTE"|65|29|1|101|2|2|0|16|4|0|0|1|3|0|0|"pd3.dp"|224
"8385.SANTA ANA"|47|20|0|193|13|0|1|5|5|0|0|1|5|0|2|"pd3.dp"|292
"8688.CHALATENANGO"|35|77|11|65|15|3|1|18|0|1|0|0|0|0|0|"pd3.dp"|226
"8688.SAN SALVADOR"|131|38|7|175|95|5|5|72|16|1|1|12|22|1|1|"pd3.dp"|582
"8992.SAN SALVADOR"|87|38|3|210|33|9|4|159|7|3|4|12|14|3|2|"pd3.dp"|588
"1980"|1656|1671|407|116|38|14|17|315|60|36|10|4|7|1|3|"period2.5"|4355
"8182"|2684|1826|402|1201|524|24|31|621|235|33|39|46|129|9|18|"period2.5"|7822
"8384"|856|521|48|1506|181|37|37|223|89|5|7|43|84|8|13|"period2.5"|3658
"8586"|274|167|24|638|98|23|6|156|23|1|3|16|26|2|2|"period2.5"|1459
"8788"|310|131|16|325|194|16|15|144|21|3|2|19|38|1|7|"period2.5"|1242
"8990"|212|123|27|452|95|13|16|255|23|6|4|28|30|5|6|"period2.5"|1295
"9192"|65|22|3|0|0|0|0|114|8|3|2|0|0|0|0|"period2.5"|217
"1980.CABANAS"|74|178|33|4|1|0|0|9|0|10|1|0|0|0|0|"pd2.5.dp"|310
"1980.CHALATENANGO"|273|567|152|9|4|8|9|6|3|3|0|0|1|0|0|"pd2.5.dp"|1035
"1980.CUSCATLAN"|127|224|32|39|8|1|1|21|4|4|0|0|3|0|0|"pd2.5.dp"|464
"1980.LA LIBERTAD"|135|97|31|6|8|1|0|13|4|0|0|0|1|0|0|"pd2.5.dp"|296
"1980.LA PAZ"|79|90|9|10|0|0|2|16|0|1|1|0|0|1|0|"pd2.5.dp"|209
"1980.MORAZAN"|175|72|26|2|1|0|0|26|0|3|1|1|1|0|0|"pd2.5.dp"|308
"1980.SAN SALVADOR"|284|138|23|20|8|4|1|138|26|7|6|0|1|0|2|"pd2.5.dp"|658
"1980.SAN VICENTE"|217|104|52|22|5|0|2|16|5|1|1|0|0|0|1|"pd2.5.dp"|426
"1980.SANTA ANA"|116|54|23|0|0|0|1|10|0|1|0|0|0|0|0|"pd2.5.dp"|205
"8182.CABANAS"|69|136|12|22|0|1|0|10|1|0|0|0|1|0|0|"pd2.5.dp"|252
"8182.CHALATENANGO"|217|557|101|19|12|1|0|7|0|0|1|2|2|1|0|"pd2.5.dp"|920
"8182.CUSCATLAN"|140|186|43|59|21|5|6|21|6|1|2|1|7|1|3|"pd2.5.dp"|502
"8182.LA LIBERTAD"|99|84|8|71|26|4|5|55|15|0|4|5|19|1|1|"pd2.5.dp"|397
"8182.LA PAZ"|112|54|1|36|4|1|0|13|6|0|0|1|5|0|0|"pd2.5.dp"|233
"8182.MORAZAN"|330|116|61|115|345|3|11|35|7|4|14|1|3|0|0|"pd2.5.dp"|1045
"8182.SAN SALVADOR"|549|202|49|471|76|5|6|263|160|16|13|29|78|2|7|"pd2.5.dp"|1926
"8182.SAN VICENTE"|723|199|97|66|8|2|1|32|11|1|4|4|2|0|0|"pd2.5.dp"|1150
